Date,Company,Type,Jobs Affected,City,Location
3/12/2019,Payless ShoeSource,Closure,6,Columbus,Columbus
3/11/2019,Legends Patio Bar & Grill,Closure,18,Lincoln,Lincoln
3/10/2019,Sears,Closure,,Lincoln,Lincoln - Gateway Mall
3/2/2019,Shopko xxxx,Closure,48,Lincoln,Lincoln NW
3/2/2019,Shopko xxxx,Closure,17,Ord,Ord
3/2/2019,Shopko Corporate Office,Closure,17,Ord,Ord
3/2/2019,Shopko Corporate Office,Closure,48,Lincoln,Lincoln - 3400 North 27th Street
3/1/2019,Capital One Financial,Layoff,4,Lincoln,Lincoln
2/28/2019,Sears,Closure,27,Grand Island,Grand Island
2/28/2019,Shopko xxxx,Closure,16,Kimball,Kimball
2/28/2019,Corps of Discovery Welcome Center,Closure,1,Crofton,Crofton
2/28/2019,Shopko Corporate Office,Closure,16,Kimball,Kimball
2/18/2019,Shopko Corporate Office,Closure,3,Broken Bow,Broken Bow
2/18/2019,Country Nest,Closure,0,Kearney,Kearney
2/18/2019,Shopko xxxx,Closure,3,Ainsworth,Ainsworth - Pharmacy
2/18/2019,Shopko Hometown xxxx,Closure,3,Broken Bow,Broken Bow - Pharmacy
1/31/2019,The Solid Rock,Closure,6,Kearney,Kearney
1/30/2019,Union Pacific,Closure,68,Morrill,Morrill
1/28/2019,Gap,Closure,,Lincoln,Lincoln
1/25/2019,US Bank,Closure,,Lincoln,Lincoln
1/25/2019,US Bank,Closure,1,North Platte,North Platte
1/17/2019,Blue Valley Bowl,Closure,3,Hebron,Hebron
1/15/2019,Sears Hometown Store,Closure,5,Beatrice,Beatrice
1/12/2019,Shopko Hometown Pharmacy xxxx,Closure,9,Wayne,Wayne
1/12/2019,Shopko Corporate Office,Closure,9,Wayne,Wayne
1/9/2019,Shopko Corporate Office,Closure,6,Lincoln,Lincoln - 4200 South 27th Street Pharmacy
1/9/2019,Shopko Corporate Office,Closure,4,Lincoln,Lincoln - 6845 South 27th Street Pharmacy
1/9/2019,Shopko Pharmacy xxxx,Closure,4,Lincoln,Lincoln Pine Lake
1/9/2019,Shopko Pharmacy xxxx,Closure,6,Lincoln,Lincoln 4200 S. 27th
1/8/2019,Shopko Pharmacy xxxx,Closure,,Lincoln,Lincoln 100 S. 66th
1/8/2019,Shopko Corporate Office,Closure,,Lincoln,Lincoln - 100 South 66th Street Pharmacy
1/4/2019,Diversified Foods & Seasoning,Closure,54,Nebraska City,Nebraska City
1/4/2019,Quad Graphics,Layoff,6,Sidney,Sidney
1/4/2019,Capital One Financial,Layoff,45,Lincoln,Lincoln
12/31/2018,Dr. Mausolf Ophthalmology,Closure,7,Lincoln,Lincoln
12/31/2018,PaymentSpring - Nelnet,Layoff,30,Omaha,Omaha
12/31/2018,Allstate Insurance,Layoff,14,Lincoln,Lincoln
12/28/2018,Kearney Little Learners,Closure,23,Kearney,Kearney
12/22/2018,CraftHouse,Closure,,Lincoln,Lincoln
12/22/2018,Shopko Corporate Office,Closure,12,Gordon,Gordon
12/22/2018,Shopko Corporate Office,Closure,16,Ogallala,Ogallala
12/22/2018,Shopko xxxx,Closure,12,Gordon,Gordon
12/22/2018,Shopko xxxx,Closure,16,Ogallala,Ogallala
12/21/2018,201 Tanning & Spa,Closure,2,Beatrice,Beatrice
12/15/2018,O'Connor's Irish Pub,Closure,3,Omaha,Omaha
12/7/2018,Capital One Financial,Layoff,155,Lincoln,Lincoln
12/2/2018,Shivers Sweets N Treats,Closure,2,Lincoln,Lincoln
11/27/2018,The Creative Teacher,Closure,,Kearney,Kearney
11/21/2018,Funshine Shop,Closure,2,Kearney,Kearney
11/16/2018,The Emporium Restaurant,Closure,11,Scottsbluff,Scottsbluff
11/16/2018,Quad Graphics,Layoff,30,Sidney,Sidney
11/14/2018,Jimmy's Egg,Closure,,Lincoln,Lincoln
10/31/2018,Five Guys,Closure,,Lincoln,Lincoln - Downtown
10/31/2018,The Donut Shop,Closure,2,Omaha,Omaha
10/27/2018,Lewis Greenscape,Closure,12,Grand Island,Grand Island
