Company,City,Affected Workers,Notice Date,Notice Type,Layoff Begin Date,NAICS Description,County,Workforce Development Area
Visual Impressions Inc,Milwaukee,41,3/23/2020,WR,3/20/2020,Commercial Screen Printing,Milwaukee,Milwaukee
"Big Dot of Happiness, LLC",Menomonie,57,3/23/2020,WR,3/18/2020,Electronic Shipping and Mail Order Houses,Dunn,West Central
Stroh Die Cast LLC,Mauston,71,3/23/2020,CL,5/16/2020,Nonferrous Mtl Die-Casting Foundries,Juneau,Western
Wisconsin Central School Bus,Milwaukee,90,3/23/2020,WR,3/16/2020,School & Employee Bus Trans,Milwaukee,Milwaukee
Wisconsin Central School Bus,New Richmond,48,3/23/2020,WR,3/16/2020,School & Employee Bus Trans,St. Croix,West Central
Clearwing Production Inc.,Milwaukee,25,3/23/2020,WR,3/16/2020,Independent Artists Writers & Performers,Milwaukee,Milwaukee
Hyatt Regency Milwaukee,Milwaukee,112,3/23/2020,WR,3/16/2020,Hotels & Motels exc Casino Hotels,Milwaukee,Milwaukee
Mickeys Linen and Towel Supply Inc,Milwaukee,48,3/23/2020,WR,3/18/2020,Linen Supply,Milwaukee,Milwaukee
Black Shoe Hospitality,Milwaukee,155,3/23/2020,WR,3/16/2020,Commercial Bakeries/Full Service Restaurants,Milwaukee,Milwaukee
Eddie Martini's Enterprises,Wauwatosa,30,3/23/2020,WR,3/17/2020,Full-Service Restaurants,Milwaukee,Milwaukee
Park Hotel Inc.,Madison,120,3/23/2020,CL,3/22/2020,Hotels & Motels exc Casino Hotels,Dane,South Central
HMS Host Corporation,Milwaukee,120,3/24/2020,WR,3/20/2020,Limited-service restaurants,Milwaukee,Milwaukee
Holiday Inn & Suites Wausau Rothschild,Rothschild,60,3/24/2020,WR,3/24/2020,Hotels & Motels exc Casino Hotels,Marathon,North Central
Holiday Inn & Suites Wausau Rothschild - Revision 1,,81,5/22/2020,AW,3/24/2020,Hotels & Motels exc Casino Hotels,Marathon,North Central
The Edgewater Management Company,Madison,202,3/25/2020,WR,3/18/2020,Hotels & Motels exc Casino Hotels,Dane,South Central
The Edgewater Management Company - Revision 1,Madison,215,4/13/2020,AW,3/18/2020,Hotels & Motels exc Casino Hotels,Dane,South Central
Hospitality Democracy LLC,Milwaukee,234,3/25/2020,CL,3/16/2020,Full-Service Restaurants,Milwaukee,Milwaukee
Kettle Moraine YMCA,"West Bend, Port Washington",700,3/25/2020,CL,3/17/2020,Civic & Social Organizations,Washington,Waukesha-Ozaukee-Washington
Take 5 Oil Change,"Baraboo, Bellevue, Brookfield, Brown Deer, Cedarburg, Crivitz, De Pere, Fitchburg, Glendale, Green Bay, Hales Corner, Hartford, Kenosha, Merrill, Milwaukee, Mukwonago, New Berlin, New London, Oak Creek, Racine, Reedsburg, Sheboygan, Sun Prairie, Waukesha, Wauwatosa, West Allis, Wisconsin Rapids",140,3/25/2020,WR,3/22/2020,Automotive Oil Change & Lubrication Shops,"Brown, Dane, Dodge, Kenosha, Lincoln, Marinette, Milwaukee, Ozaukee, Racine, Sauk, Sheboygan, Waukesha, Waupaca, Wood","Bay Area, Fox Valley, Milwaukee, North Central, Southeast, South Central, Waukesha-Ozaukee-Washington"
Schroeder Moving Systems,New Berlin,29,3/26/2020,WR,3/30/2020,Used Household & Office Goods Moving,Waukesha,Waukesha-Ozaukee-Washington
MicroStar Quality Services,Green Bay,44,3/26/2020,WR,3/27/2020,All Other Consumer Goods Rental,Brown,Bay Area
Altitude Trampoline Park,Appleton,67,3/26/2020,WR,3/17/2020,All Other Amusement & Recreation Ind,Outagamie,Bay Area
