Company,City,Affected Workers,Notice Date,Notice Type,Layoff Begin Date,NAICS Description,County,Workforce Development Area
Manitowoc Cranes - Revision 1,Manitowoc,528,10/14/2016,LS,1/6/2017,Construction Machinery Mfg,Manitowoc,Bay Area
Sentry,Waukesha,37,8/3/2016,CL,10/3/2016,Supermarkets & Other Grocery Stores,Waukesha,WOW
Caterpillar Inc.,Prentice,152,8/2/2016,CL,9/30/2016,All Other Ind Machinery Mfg,Price,Northwest
Southern Wisconsin Foods,Reedsburg,22,7/13/2016,CL,9/1/2016,Limited-service restaurants,Sauk,South Central
"Piggly Wiggly Midwest, LLC.",Sheboygan,83,7/13/2016,CL,9/1/2016,Supermarkets & Other Grocery Stores,Sheboygan,Bay Area
"Cascade Purchase Holdings, Inc. (d/b/a New Hampshire Industries, Inc.)",Horicon,39,7/1/2016,CL,9/28/2016,Hardware Mfg,Dodge,South Central
HUSCO International,Waukesha,97,7/1/2016,WR,9/16/2016,Managing Offices,Waukesha,WOW
Sports Authority,Greenfield,46,6/27/2016,CL,8/19/2016,Sporting Goods Stores,Milwaukee,Milwaukee
Sports Authority - Revision 1,Greenfield,46,7/15/2016,LS,7/18/2016,Sporting Goods Stores,Milwaukee,Milwaukee
CompuCom,Waukesha,16,6/27/2016,CL,8/31/2016,Computer & Software Merch Whls,Waukesha,WOW
Southern Wisconsin Foods dba Burger King,Milton,20,6/20/2016,CL,7/31/2016,Limited-service restaurants,Rock,Southwest
Global Industrial Services Inc.,Milwaukee,27,6/20/2016,CL,8/15/2016,Ind Machinery Merch Whls,Milwaukee,Milwaukee
Air Wisconsin Airlines,Milwaukee,53,6/6/2016,CL,8/18/2016,Scheduled Passenger Air Trans,Milwaukee,Milwaukee
Ameridrives International,Green Bay,37,6/6/2016,CL,8/2/2016,Mechanical Power Transmission Equip Manufacturing,Brown,Bay Area
"Foster Needle Co., Inc.",Manitowoc,64,6/1/2016,CL,7/31/2016,Fastener Button Needle & Pin Mfg,Manitowoc,Bay Area
"Experience Works, Inc.",West Bend,5,5/31/2016,CL,7/1/2016,Vocational Rehabilitation Services,Washington,WOW
Anchor Bank FSB - Main Street,Madison,46,5/19/2016,WR,9/30/2016,Savings Institutions,Dane,South Central
Anchor Bank FSB - East Towne Blvd.,Madison,46,5/19/2016,WR,9/30/2016,Savings Institutions,Dane,South Central
Anchor Bank FSB - City View Dr.,Madison,46,5/19/2016,WR,9/30/2016,Savings Institutions,Dane,South Central
Anchor Bank FSB - Holiday Drive,Janesville,1,5/19/2016,WR,9/30/2016,Savings Institutions,Rock,Southwest
Anchor Bank FSB - Division Street,Stevens Point,1,5/19/2016,WR,9/30/2016,Savings Institutions,Portage,North Central
