Notice Date,Company,COUNTY_NAME,WDA_NAME,TOTAL_LAYOFF_NUMBER,LayOff_Date,WFDD_RECEIVED_DATE,CITY_NAME
24-Sep-15,National Oilwell Varco-Lockwood Dr.,Harris,Gulf Coast WDA,85,26-Nov-15,24-Sep-15,Houston
22-Sep-15,Hercules Offshore,Harris,Gulf Coast WDA,50,21-Nov-15,22-Sep-15,Houston
22-Sep-15,ABM Janitorial Services,Harris,Gulf Coast WDA,260,31-Oct-15,22-Sep-15,Houston
21-Sep-15,"KW International, LLC",Harris,Gulf Coast WDA,47,21-Sep-15,21-Sep-15,Houston
17-Sep-15,Peerless Manufacturing-Dallas,Archer,North Texas WDA,70,16-Nov-15,17-Sep-15,Wichita Falls
15-Sep-15,USAA-Addison,Dallas,Dallas County WDA,105,6-Nov-15,15-Sep-15,Addison
15-Sep-15,Lockheed Martin- Commercial Engine Solutions,Bexar,Alamo WDA,87,19-Nov-15,15-Sep-15,San Antonio
11-Sep-15,"PFSweb, Inc.",Houston,Tarrant County WDA,61,31-Dec-15,11-Sep-15,Grapeland
3-Sep-15,Cameron International-Houston,Harris,Gulf Coast WDA,150,2-Nov-15,3-Sep-15,Houston
1-Sep-15,ConocoPhillips-Park Ten Pl.,Harris,Gulf Coast WDA,50,30-Oct-15,1-Sep-15,Houston
1-Sep-15,ConocoPhillips-Dairy Ashford,Harris,Gulf Coast WDA,50,30-Oct-15,1-Sep-15,Houston
1-Sep-15,ConocoPhillips-Westlake Park2,Harris,Gulf Coast WDA,50,1-Sep-15,1-Sep-15,Houston
1-Sep-15,ConocoPhillips-St. Mary's,Harris,Gulf Coast WDA,50,30-Oct-15,1-Sep-15,Houston
1-Sep-15,ConocoPhillips-Katy Frwy,Harris,Gulf Coast WDA,50,30-Oct-15,1-Sep-15,Houston
1-Sep-15,ConocoPhillips-Barker Cypress,Harris,Gulf Coast WDA,50,30-Oct-15,1-Sep-15,Houston
1-Sep-15,ConocoPhillips-Post Oak,Harris,Gulf Coast WDA,50,30-Oct-15,1-Sep-15,Houston
1-Sep-15,ConocoPhillips-JFK Blvd.,Harris,Gulf Coast WDA,50,30-Oct-15,1-Sep-15,Houston
1-Sep-15,Bronco Oilfield Services-Longview,Harrison,East Texas WDA,52,30-Oct-15,1-Sep-15,Longview
1-Sep-15,Texas Health Care,Tarrant,Tarrant County WDA,65,31-Oct-15,1-Sep-15,Ft. Worth
1-Sep-15,ConocoPhillips-Westlake Park,Harris,Gulf Coast WDA,50,30-Oct-15,1-Sep-15,Houston
1-Sep-15,ConocoPhillips-Threadneedle,Harris,Gulf Coast WDA,50,30-Oct-15,1-Sep-15,Houston
31-Aug-15,"Lufkin Industries, (GE Oil & Gas)",Angelina,Deep East Texas WDA,176,10-Sep-15,31-Aug-15,Lufkin
28-Aug-15,Hewlett Packard - Houston2,Harris,Gulf Coast WDA,70,28-Aug-15,28-Aug-15,Houston
27-Aug-15,Timberlawn Mental Health System,Dallas,Dallas County WDA,80,27-Aug-15,27-Aug-15,Dallas
27-Aug-15,Timberlawn -Garland,Dallas,Dallas County WDA,80,27-Aug-15,27-Aug-15,Garland
26-Aug-15,Boeing Company,Harris,Gulf Coast WDA,70,23-Oct-15,26-Aug-15,Houston
24-Aug-15,Lamons Gasket Company,Harris,Gulf Coast WDA,77,23-Oct-15,24-Aug-15,Houston
12-Aug-15,Chevron-Two Allen Center,Harris,Gulf Coast WDA,237,12-Oct-15,12-Aug-15,Houston
12-Aug-15,Chevron-Smith St.,Harris,Gulf Coast WDA,237,12-Oct-15,12-Aug-15,Houston
12-Aug-15,"Chevron USA, Inc. - Houston2",Harris,Gulf Coast WDA,237,12-Oct-15,12-Aug-15,Houston
12-Aug-15,"Chevron USA, Inc.",Harris,Gulf Coast WDA,239,12-Oct-15,12-Aug-15,Houston
10-Aug-15,Color Spot Nurseries-Waco,McLennan,Heart of Texas WDA,43,30-Aug-15,10-Aug-15,Waco
